Borough,the_geom,OBJECTID,Loc,Street_Nam,From_Stree,To_Street,Index,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD
Bronx,POINT (-73.9045914073068 40.87919896648569),1,1,Broadway,West 231st Street,Naples Terrace,N,1189,4094,2508,734,2646,2939,802,4015,2631,1125,4310,3420,1001,3475,2832,991,4262,2469,1010,3609,3128,863,4119,2217,997,4440,2687,1328,3820,2428,1288,3328,3365,"1,268","4,315","2,276","1,210","4,710","3,825","1,206","4,590","3,008","1,220","4,384","2,641","1,450","4,646","2,996","1,788","4,980","3,033",1204,4520,2999,"1,246","4,531","2,686","1,309","3,642","2,830","1,916","5,893","2,776","1,111","4,044","2,731","1,271","4,502","2,899","4,464","2,967",-,-,-
Bronx,POINT (-73.92188432870219 40.82662794123289),2,2,East 161st Street,Grand Concourse,Sheridan Avenue,Y,1511,3184,1971,1855,3754,1183,1136,2638,1522,1939,3283,1383,1351,3111,1304,1227,3137,2762,2077,3283,1409,1007,3069,1477,1734,3333,1772,2051,3525,1752,1233,1875,1912,"2,113","4,099","1,970","2,278","4,215","2,288","2,071","3,890","1,832","2,206","4,363","2,315","1,949","4,435","2,388","2,318","4,589","2,483",2005,4790,2512,"2,053","4,721","2,311","2,109","5,485","2,548","1,848","4,920","2,143","2,389","5,952","2,832","1,749","5,148","2,156","4,723","1,604","1,702","4,347","1,576"
Bronx,POINT (-73.89535781584335 40.862154600315115),3,3,East Fordham Road,Valentine Avenue,Tiebout Avenue,Y,1832,12311,14391,1829,9215,15065,1061,8013,7927,2497,10010,8013,1689,8374,7472,2387,10655,6614,2285,10943,10424,2807,12658,7714,2289,15890,9167,2679,13548,8140,2125,7635,7022,"2,704","10,486","7,421","2,710","12,723","8,872","2,651","10,613","8,241","2,699","12,490","6,339","2,752","10,408","8,266","2,382","11,216","7,574",2733,10586,9072,"2,540","11,272","8,422","2,422","11,145","9,775","2,557","12,125","6,499","2,783","12,388","7,076","2,209","9,634","7,066","8,931","6,212","1,625","11,739","7,468"
Bronx,POINT (-73.87892467324478 40.88128699598726),4,4,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,764,2673,1798,1360,1975,872,2102,3206,1989,3020,3915,1662,1536,2997,1672,2097,3135,1591,2954,3962,1717,1622,3006,1344,1661,2844,1510,1996,2836,1587,1906,2066,1261,"2,371","3,500","1,620","2,052","3,981","1,979","2,373","3,660","1,914","2,096","3,378","1,333","2,382","3,425","1,339","1,757","3,561","1,714",2256,2923,1574,"2,066","2,944","1,752","2,017","2,771","1,459","2,125","3,130","1,123","2,453","3,429","1,551","1,648","2,892","1,323","2,682","1,693",-,-,-
Bronx,POINT (-73.88956389732789 40.844636776717635),5,5,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,650,2538,2334,1078,2739,2343,553,2438,1652,756,3095,1374,684,2660,2604,912,3637,2339,1075,5823,4085,1012,5785,3758,1093,6119,4274,1049,5859,3934,627,1503,2371,959,"3,140","2,273","1,007","4,175","2,854",760,"3,488","2,805",971,"3,586","2,460","1,019","3,184","2,366","1,055","3,710","2,554",1063,3296,2466,993,"3,625","2,492","1,101","3,336","2,501",980,"3,700","2,526","1,082","3,330","2,479","1,016","3,781","2,565","3,761","2,461",-,-,-
Bronx,POINT (-73.92087824799184 40.8301585551103),6,6,Grand Concourse,East 164th Street,East 165th Street,Y,489,1235,835,873,1457,631,634,1554,856,771,1445,744,605,1271,539,599,1028,750,597,1426,669,634,1341,738,753,1394,891,802,1396,859,838,1372,1069,936,"1,743","1,059",912,"2,059","1,037",963,"1,726",973,858,"2,035","1,042",972,"1,902","1,097",839,"2,023","1,059",999,1948,1161,767,"1,933","1,010",982,"1,971","1,165",740,"1,909",925,962,"1,872","1,199",757,"1,933",956,"1,986",686,694,"1,881",816
Bronx,POINT (-73.91635737290387 40.816887458348624),7,7,Third Avenue,East 150th Street,East 151st Street,Y,703,8776,2865,858,6503,5501,636,6123,4461,1499,5803,4251,1696,7236,3540,1446,6730,7409,1624,6877,4565,1701,6922,4866,1773,7138,5866,1937,7050,4951,1367,6961,5551,"1,604","7,500","5,012","2,097","8,853","6,599","1,231","6,701","4,294","2,161","9,048","6,717","1,648","9,057","6,785","2,165","9,285","6,721",1690,7894,6844,"2,059","9,097","6,688","1,689","7,885","6,900","2,027","9,045","6,683","1,702","7,883","6,921","1,817","9,048","5,956","9,087","4,470","1,136","6,589","4,967"
Bronx,POINT (-73.86767352599497 40.8555887197195),8,8,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,1025,4039,3991,1743,4667,3309,1638,4798,4858,1056,3194,2489,990,3490,3335,1461,5090,2526,1375,4834,3095,1568,4386,2217,1545,4402,2985,1689,3016,2360,1626,3415,3828,"1,591","5,398","3,851","1,410","4,232","3,007","1,479","4,910","4,056","1,495","5,166","2,540","1,769","4,114","2,893","1,512","4,333","3,122",1537,4379,3092,"1,638","5,900","2,582","1,377","4,098","2,730","1,186","4,673","3,420","2,023","5,520","3,166","1,601","5,059","3,391","4,011","2,566","1,305","5,007","3,326"
Brooklyn,POINT (-74.01119296689038 40.64426682358736),9,9,5th Avenue,51st Street,52nd Street,Y,856,5940,4354,900,5435,5081,886,7054,4806,1062,5072,5901,914,5730,4619,1364,5475,4740,982,5570,5371,946,5585,4577,1350,7743,6135,1445,8170,4999,1306,3662,4731,"1,419","4,864","6,325","1,457","6,509","6,070","1,658","6,627","5,690","1,522","7,718","6,313","1,721","7,988","6,391","1,791","7,802","6,762",1655,7502,6082,"1,531","7,296","6,014","1,642","8,130","5,763","1,517","7,384","5,356","1,563","4,730","5,563","1,197","4,909","4,515","4,821","4,401",652,"1,402","1,125"
Brooklyn,POINT (-73.98067647018506 40.67609353714622),10,10,5th Avenue,Union Street,President Street,Y,504,2207,2225,422,2167,1627,672,2707,966,487,1898,2321,469,2547,2259,774,2310,1690,582,2274,2808,661,3063,2141,631,2915,2852,591,2848,2307,666,1414,2620,723,"3,255","2,468",688,"2,764","2,554",794,"2,513","2,591",800,"3,051","3,080",955,"2,390","1,962",900,"2,492","3,081",922,2955,2681,941,"2,751","3,131",951,"2,911","2,248",812,"2,570","2,298",905,"2,463","1,679",743,"2,252","2,286","2,297","2,196",849,"6,007","4,865"
