App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5953076,HDR,10/16/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951351,HDR,09/20/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5954770,HDR,11/12/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953258,HDR,10/18/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954363,HDR,11/05/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949670,HDR,08/26/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953933,HDR,10/29/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949442,HDR,08/21/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952481,HDR,10/08/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951176,HDR,09/18/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953186,HDR,10/17/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954659,HDR,11/11/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953528,HDR,10/23/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5943238,HDR,05/23/2019,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953794,HDR,10/25/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5950870,HDR,09/13/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953695,HDR,10/25/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5953551,HDR,10/23/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953458,HDR,10/22/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5952739,HDR,10/11/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5955126,HDR,11/18/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951416,HDR,09/22/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954093,HDR,10/31/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950976,HDR,09/16/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949715,HDR,08/26/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952282,HDR,10/04/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5921784,HDR,02/06/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954333,HDR,11/04/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5953921,HDR,10/28/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954668,HDR,11/12/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953574,HDR,10/23/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953798,HDR,10/25/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953509,HDR,10/22/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5951376,HDR,09/21/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,11/20/2019 05:00:03 PM
5952258,HDR,10/03/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5950153,HDR,09/04/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951123,HDR,09/17/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954584,HDR,11/08/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954907,HDR,11/14/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954777,HDR,11/12/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954636,HDR,11/11/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5955158,HDR,11/19/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5955091,HDR,11/18/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952103,HDR,10/01/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952863,HDR,10/15/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954482,HDR,11/07/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951918,HDR,09/28/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954578,HDR,11/08/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951244,HDR,09/19/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5949099,PDR,08/16/2019,Denied,Not Applicable,Not Applicable,Not Applicable,Needed,Not Applicable,Not Applicable,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,11/20/2019 05:00:03 PM
5947965,HDR,07/31/2019,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5948834,HDR,08/14/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951774,HDR,09/26/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954389,HDR,11/06/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
